Year,District,Area_Hectares,Yield_Kg_Ha,Crop,Avg_Temperature_C,max_temp_C,min_temp_C,Avg_Humidity_Pct,Avg_Rainfall_mm,total_solar_radiation_kWh/m2,total_PAR_MJ/m2,Avg_Wind_Speed_ms,avg_pH_value,fertilizer_in_MT,Production_MT,Planting_Month,Province
2010,Banke,10.0,1000.0,Barley,20.73353425,26.48753425,16.01060274,55.95624658,1335.67,6092.79,2704.96,1.542273973,6.4,5913.0,10.0,November,Lumbini
2010,Bara,52725.0,3200.0,Rice,25.72378082,32.0569589,20.59476712,54.83873973,1114.3,6402.98,2974.38,1.812136986,6.7,7732.0,168720.0,July,Madhesh
2010,Bara,7500.0,2800.0,Maize,25.72378082,32.0569589,20.59476712,54.83873973,1114.3,6402.98,2974.38,1.812136986,6.7,7732.0,21000.0,April,Madhesh
2010,Bara,78.0,1090.0,Millet,25.72378082,32.0569589,20.59476712,54.83873973,1114.3,6402.98,2974.38,1.812136986,6.7,7732.0,85.02,August,Madhesh
2010,Bara,0.0,0.0,Buckwheat,25.72378082,32.0569589,20.59476712,54.83873973,1114.3,6402.98,2974.38,1.812136986,6.7,7732.0,0.0,September,Madhesh
2010,Bara,29000.0,3341.0,Wheat,25.72378082,32.0569589,20.59476712,54.83873973,1114.3,6402.98,2974.38,1.812136986,6.7,7732.0,96889.0,November,Madhesh
2010,Bara,68.0,971.0,Barley,25.72378082,32.0569589,20.59476712,54.83873973,1114.3,6402.98,2974.38,1.812136986,6.7,7732.0,66.028,November,Madhesh
2010,Bardiya,42550.0,3500.0,Rice,25.55323288,31.69134247,20.56035616,52.89049315,1200.41,6092.79,2704.96,1.740684932,6.8,7655.0,148925.0,July,Unknown
2010,Bardiya,9000.0,2023.0,Maize,25.55323288,31.69134247,20.56035616,52.89049315,1200.41,6092.79,2704.96,1.740684932,6.8,7655.0,18207.0,April,Unknown
2010,Bardiya,0.0,0.0,Millet,25.55323288,31.69134247,20.56035616,52.89049315,1200.41,6092.79,2704.96,1.740684932,6.8,7655.0,0.0,August,Unknown
2010,Bardiya,0.0,0.0,Buckwheat,25.55323288,31.69134247,20.56035616,52.89049315,1200.41,6092.79,2704.96,1.740684932,6.8,7655.0,0.0,September,Unknown
2010,Bardiya,18890.0,2795.0,Wheat,25.55323288,31.69134247,20.56035616,52.89049315,1200.41,6092.79,2704.96,1.740684932,6.8,7655.0,52797.55,November,Unknown
2010,Bardiya,10.0,1000.0,Barley,25.55323288,31.69134247,20.56035616,52.89049315,1200.41,6092.79,2704.96,1.740684932,6.8,7655.0,10.0,November,Unknown
2010,Bhaktapur,4300.0,5400.0,Rice,19.62460274,25.02857534,15.5249863,58.33276712,1044.95,6421.67,2868.84,1.509808219,5.8,2771.0,23220.0,July,Bagmati
2010,Bhaktapur,2000.0,3000.0,Maize,19.62460274,25.02857534,15.5249863,58.33276712,1044.95,6421.67,2868.84,1.509808219,5.8,2771.0,6000.0,April,Bagmati
2010,Bhaktapur,100.0,1400.0,Millet,19.62460274,25.02857534,15.5249863,58.33276712,1044.95,6421.67,2868.84,1.509808219,5.8,2771.0,140.0,August,Bagmati
2010,Bhaktapur,0.0,0.0,Buckwheat,19.62460274,25.02857534,15.5249863,58.33276712,1044.95,6421.67,2868.84,1.509808219,5.8,2771.0,0.0,September,Bagmati
2010,Bhaktapur,3200.0,3089.0,Wheat,19.62460274,25.02857534,15.5249863,58.33276712,1044.95,6421.67,2868.84,1.509808219,5.8,2771.0,9884.8,November,Bagmati
2010,Bhaktapur,50.0,1000.0,Barley,19.62460274,25.02857534,15.5249863,58.33276712,1044.95,6421.67,2868.84,1.509808219,5.8,2771.0,50.0,November,Bagmati
2010,Bhojpur,16103.0,2337.0,Rice,5.662410959,11.09339726,1.640931507,71.61832877,1213.87,5773.57,2540.43,1.581178082,5.4,15732.0,37632.711,July,Koshi
2010,Bhojpur,22776.0,2134.0,Maize,5.662410959,11.09339726,1.640931507,71.61832877,1213.87,5773.57,2540.43,1.581178082,5.4,15732.0,48603.984,April,Koshi
2010,Bhojpur,5100.0,1000.0,Millet,5.662410959,11.09339726,1.640931507,71.61832877,1213.87,5773.57,2540.43,1.581178082,5.4,15732.0,5100.0,August,Koshi
2010,Bhojpur,75.0,700.0,Buckwheat,5.662410959,11.09339726,1.640931507,71.61832877,1213.87,5773.57,2540.43,1.581178082,5.4,15732.0,52.5,September,Koshi
